genus,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
Unclassified Pseudoalteromonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38E-05,0,0,0,0,0,0,0
Pirellulales bacterium (no genus in NCBI),0,3.45E-05,0,0,0,0,1.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23E-05,0
Unclassified Fulvivirgaceae,5.24E-06,0,0,0,0,3.49E-05,0,0,0,0,0,0,3.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradyrhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amylibacter,0,0,0,0,0,0,0,0,0,0,2.69E-05,0,0,0,0,0,0,0,0,0,0,3.73E-05,1.23E-05,0,0,0,0,0,0,0
Fibrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24E-06,4.08E-06,0,0,0,0,0,0,0,0,0,4.46E-05,2.48E-05
Acanthopleuribacter,0,3.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33E-05,0,0
Unclassified Geovibrionaceae,0,0,0,2.35E-05,0,3.49E-05,0,0,0,0,0,0,0,1.25E-05,0,0,0,0,2.04E-06,0,0,0,0,0,4.99E-06,0,0,0,0,0
Unclassified Blastocatellia,0,0,0,2.35E-05,0,0,0,0,0,5.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Minwuiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42E-05,3.73E-05,0,0,0,0,0,0,0,0
Marinomonas,0,0,0,0,0,0,0,0,0,0,0,8.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dethiosulfatarculus,6.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Maricaulaceae,0,0,1.10E-05,0,0,0,0,2.30E-06,0,0,0,2.33E-05,0,0,0,0,0,0,2.04E-06,1.32E-06,0,0,0,0,0,0,0,4.33E-05,0,0
Ruminococcus,0,0,0,0,0,0,0,0,0,0,5.39E-05,0,0,0,0,0,0,0,0,0,2.94E-05,0,0,0,0,0,0,0,0,0
