"Sample","Group","Habitat","Phylum_plot","Relative_abundance"
"ST-H3","ST-H","Subtidal Heat","Actinomycetota",0.00291088922970985
"ST-H3","ST-H","Subtidal Heat","Bacillota",0.0124260540236001
"ST-H3","ST-H","Subtidal Heat","Bacteroidota",0.0449779335816458
"ST-H3","ST-H","Subtidal Heat","Campylobacterota",0.0509249115778272
"ST-H3","ST-H","Subtidal Heat","Cyanobacteriota",0.00353688691351842
"ST-H3","ST-H","Subtidal Heat","Ignavibacteriota",0.00206579235656828
"ST-H3","ST-H","Subtidal Heat","Others",0.25349776205828
"ST-H3","ST-H","Subtidal Heat","Planctomycetota",0.0875144761964381
"ST-H3","ST-H","Subtidal Heat","Pseudomonadota",0.367022442016965
"ST-H3","ST-H","Subtidal Heat","Spirochaetota",0.0447901342765032
"ST-H3","ST-H","Subtidal Heat","Thermodesulfobacteriota",0.130332717768944
"ST-H4","ST-H","Subtidal Heat","Actinomycetota",0.00410058289277484
"ST-H4","ST-H","Subtidal Heat","Bacillota",0.00576114951877457
"ST-H4","ST-H","Subtidal Heat","Bacteroidota",0.0265351769011793
"ST-H4","ST-H","Subtidal Heat","Campylobacterota",0.0380574759387285
"ST-H4","ST-H","Subtidal Heat","Cyanobacteriota",0.00135556459265284
"ST-H4","ST-H","Subtidal Heat","Ignavibacteriota",0.000305002033346889
"ST-H4","ST-H","Subtidal Heat","Others",0.189406262708418
"ST-H4","ST-H","Subtidal Heat","Planctomycetota",0.0780127423071709
"ST-H4","ST-H","Subtidal Heat","Pseudomonadota",0.629964755320591
"ST-H4","ST-H","Subtidal Heat","Spirochaetota",0.0152839907821608
"ST-H4","ST-H","Subtidal Heat","Thermodesulfobacteriota",0.0112172970042023
"ST-H5","ST-H","Subtidal Heat","Actinomycetota",0.00172382429119637
"ST-H5","ST-H","Subtidal Heat","Bacillota",0.0229207993693748
"ST-H5","ST-H","Subtidal Heat","Bacteroidota",0.0972184925633007
"ST-H5","ST-H","Subtidal Heat","Campylobacterota",0.0219419443698513
"ST-H5","ST-H","Subtidal Heat","Cyanobacteriota",0.00264204225535122
"ST-H5","ST-H","Subtidal Heat","Ignavibacteriota",0.000796943893417417
"ST-H5","ST-H","Subtidal Heat","Others",0.189785258270459
